bins,column_name,column_type,score,normalized_score,metric,eval_retries,synthesizer
50,age,numerical,0.7970974531606121,0.7970974531606121,histogram_intersection,0,tvae
50,capital-gain,numerical,0.9364501845430535,0.9364501845430535,histogram_intersection,0,tvae
50,capital-loss,numerical,0.9531355567839813,0.9531355567839813,histogram_intersection,0,tvae
17,education,categorical,0.8536945864811745,0.8536945864811745,histogram_intersection,0,tvae
50,education-num,numerical,0.7504362280144562,0.7504362280144562,histogram_intersection,0,tvae
50,fnlwgt,numerical,0.6483878544516196,0.6483878544516196,histogram_intersection,0,tvae
50,hours-per-week,numerical,0.5825855291444015,0.5825855291444015,histogram_intersection,0,tvae
3,income,categorical,0.9801799739727289,0.9801799739727289,histogram_intersection,0,tvae
8,marital-status,categorical,0.9103400819974202,0.9103400819974202,histogram_intersection,0,tvae
43,native-country,categorical,0.9005589337264296,0.9005589337264296,histogram_intersection,0,tvae
16,occupation,categorical,0.748876326315951,0.748876326315951,histogram_intersection,0,tvae
6,race,categorical,0.8565812910754868,0.8565812910754868,histogram_intersection,0,tvae
7,relationship,categorical,0.8760415227105215,0.8760415227105215,histogram_intersection,0,tvae
3,sex,categorical,0.9920351943983785,0.9920351943983785,histogram_intersection,0,tvae
10,workclass,categorical,0.7111888954149008,0.7111888954149008,histogram_intersection,0,tvae
